#       xJ          yJ
#
  1.234550   0.968415
  1.234800   0.966840
  1.235050   0.966735
  1.235300   0.967575
  1.235550   0.969150
  1.235800   0.970095
  1.236050   0.969780
  1.236300   0.968310
  1.236550   0.965790
  1.236800   0.963690
  1.237050   0.963690
  1.237300   0.965895
  1.237550   0.968310
  1.237800   0.969570
  1.238050   0.971670
  1.238300   0.972720
  1.238550   0.970200
  1.238800   0.967680
  1.239050   0.966630
  1.239300   0.965370
  1.239550   0.964740
  1.239800   0.965685
  1.240050   0.966420
  1.240300   0.965370
  1.240550   0.965370
  1.240800   0.965580
  1.241050   0.962955
  1.241300   0.960435
  1.241550   0.961695
  1.241800   0.964320
  1.242050   0.966105
  1.242300   0.968205
  1.242550   0.968310
  1.242800   0.966105
  1.243050   0.965055
  1.243300   0.965055
  1.243550   0.964530
  1.243800   0.962745
  1.244050   0.961065
  1.244300   0.960435
  1.244550   0.961275
  1.244800   0.962430
  1.245050   0.960645
  1.245300   0.956760
  1.245550   0.955185
  1.245800   0.956340
  1.246050   0.956970
  1.246300   0.956550
  1.246550   0.956340
  1.246800   0.954240
  1.247050   0.951615
  1.247300   0.951090
  1.247550   0.949725
  1.247800   0.945945
  1.248050   0.943110
  1.248300   0.941430
  1.248550   0.937860
  1.248800   0.933450
  1.249050   0.931350
  1.249300   0.930615
  1.249550   0.930615
  1.249800   0.930720
  1.250050   0.928200
  1.250300   0.924315
  1.250550   0.921480
  1.250800   0.918855
  1.251050   0.915810
  1.251300   0.913815
  1.251550   0.912765
  1.251800   0.911505
  1.252050   0.911610
  1.252300   0.913185
  1.252550   0.912765
  1.252800   0.910560
  1.253050   0.907725
  1.253300   0.903945
  1.253550   0.899640
  1.253800   0.895335
  1.254050   0.892290
  1.254300   0.889980
  1.254550   0.887145
  1.254800   0.884310
  1.255050   0.883680
  1.255300   0.883890
  1.255550   0.885675
  1.255800   0.889350
  1.256050   0.891765
  1.256300   0.890715
  1.256550   0.885885
  1.256800   0.881475
  1.257050   0.880845
  1.257300   0.882420
  1.257550   0.886200
  1.257800   0.890085
  1.258050   0.892290
  1.258300   0.894495
  1.258550   0.895755
  1.258800   0.895335
  1.259050   0.894390
  1.259300   0.893760
  1.259550   0.892815
  1.259800   0.891450
  1.260050   0.891660
  1.260300   0.891555
  1.260550   0.888930
  1.260800   0.886830
  1.261050   0.885885
  1.261300   0.884835
  1.261550   0.884835
  1.261800   0.887145
  1.262050   0.889035
  1.262300   0.890190
  1.262550   0.892815
  1.262800   0.895755
  1.263050   0.897015
  1.263300   0.898170
  1.263550   0.900375
  1.263800   0.901005
  1.264050   0.900165
  1.264300   0.901320
  1.264550   0.903840
  1.264800   0.906360
  1.265050   0.908250
  1.265300   0.908880
  1.265550   0.908985
  1.265800   0.911295
  1.266050   0.915075
  1.266300   0.916230
  1.266550   0.915915
  1.266800   0.916125
  1.267050   0.915390
  1.267300   0.914445
  1.267550   0.914655
  1.267800   0.915705
  1.268050   0.916755
  1.268300   0.918750
  1.268550   0.921900
  1.268800   0.925050
  1.269050   0.928410
  1.269300   0.931560
  1.269550   0.934920
  1.269800   0.939225
  1.270050   0.943215
  1.270300   0.945840
  1.270550   0.946575
  1.270800   0.946260
  1.271050   0.948360
  1.271300   0.952665
  1.271550   0.956025
  1.271800   0.958335
  1.272050   0.961380
  1.272300   0.964425
  1.272550   0.966525
  1.272800   0.968310
  1.273050   0.970725
  1.273300   0.971880
  1.273550   0.971670
  1.273800   0.973140
  1.274050   0.975660
  1.274300   0.978285
  1.274550   0.980280
  1.274800   0.979440
  1.275050   0.977865
  1.275300   0.977760
  1.275550   0.976605
  1.275800   0.974610
  1.276050   0.974190
  1.276300   0.974295
  1.276550   0.973035
  1.276800   0.972930
  1.277050   0.974610
  1.277300   0.974820
  1.277550   0.973245
  1.277800   0.970935
  1.278050   0.967050
  1.278300   0.961905
  1.278550   0.957810
  1.278800   0.953610
  1.279050   0.949725
  1.279300   0.949200
  1.279550   0.950670
  1.279800   0.952035
  1.280050   0.953190
  1.280300   0.953400
  1.280550   0.950355
  1.280800   0.944895
  1.281050   0.938700
  1.281300   0.932400
  1.281550   0.929040
  1.281800   0.929565
  1.282050   0.930615
  1.282300   0.930930
  1.282550   0.930930
  1.282800   0.929565
  1.283050   0.926940
  1.283300   0.925470
  1.283550   0.925050
  1.283800   0.923265
  1.284050   0.920220
  1.284300   0.917070
  1.284550   0.912870
  1.284800   0.907515
  1.285050   0.903420
  1.285300   0.902685
  1.285550   0.903210
  1.285800   0.902895
  1.286050   0.902475
  1.286300   0.902790
  1.286550   0.902265
  1.286800   0.900270
  1.287050   0.897015
  1.287300   0.894810
  1.287550   0.897015
  1.287800   0.900900
  1.288050   0.902370
  1.288300   0.900375
  1.288550   0.897330
  1.288800   0.896385
  1.289050   0.898065
  1.289300   0.902265
  1.289550   0.905205
  1.289800   0.903105
  1.290050   0.897225
  1.290300   0.891135
  1.290550   0.885885
  1.290800   0.882630
  1.291050   0.883260
  1.291300   0.884625
  1.291550   0.885465
  1.291800   0.887565
  1.292050   0.890085
  1.292300   0.891135
  1.292550   0.891765
  1.292800   0.892395
  1.293050   0.889455
  1.293300   0.883785
  1.293550   0.880005
  1.293800   0.878640
  1.294050   0.879900
  1.294300   0.882000
  1.294550   0.882630
  1.294800   0.883470
  1.295050   0.886515
  1.295300   0.890295
  1.295550   0.892395
  1.295800   0.895650
  1.296050   0.898695
  1.296300   0.897750
  1.296550   0.896595
  1.296800   0.898170
  1.297050   0.901425
  1.297300   0.905940
  1.297550   0.912660
  1.297800   0.918960
  1.298050   0.923055
  1.298300   0.926310
  1.298550   0.928200
  1.298800   0.927570
  1.299050   0.926100
  1.299300   0.925575
  1.299550   0.926625
  1.299800   0.930090
  1.300050   0.932085
  1.300300   0.931350
  1.300550   0.930720
  1.300800   0.929565
  1.301050   0.927990
  1.301300   0.929565
  1.301550   0.934500
  1.301800   0.939435
  1.302050   0.942480
  1.302300   0.944055
  1.302550   0.944055
  1.302800   0.943635
  1.303050   0.943530
  1.303300   0.943950
  1.303550   0.945630
  1.303800   0.947415
  1.304050   0.949515
  1.304300   0.952350
  1.304550   0.954450
  1.304800   0.955185
  1.305050   0.955815
  1.305300   0.957705
  1.305550   0.960330
  1.305800   0.963060
  1.306050   0.965055
  1.306300   0.966000
  1.306550   0.967680
  1.306800   0.970620
  1.307050   0.971565
  1.307300   0.970620
  1.307550   0.970935
  1.307800   0.971355
  1.308050   0.971670
  1.308300   0.972720
  1.308550   0.975240
  1.308800   0.980490
  1.309050   0.987840
  1.309300   0.993510
  1.309550   0.994875
  1.309800   0.995295
  1.310050   0.995610
  1.310300   0.994980
  1.310550   0.995610
  1.310800   0.997080
  1.311050   0.996345
  1.311300   0.995400
  1.311550   0.995610
  1.311800   0.994560
  1.312050   0.993300
  1.312300   0.993195
  1.312550   0.992040
  1.312800   0.990045
  1.313050   0.990045
  1.313300   0.990465
  1.313550   0.988995
  1.313800   0.986685
  1.314050   0.983325
  1.314300   0.979335
  1.314550   0.976605
  1.314800   0.974400
  1.315050   0.971355
  1.315300   0.970095
  1.315550   0.971880
  1.315800   0.972615
  1.316050   0.971670
  1.316300   0.971040
